"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"637","RT @AshishJThakkar: <U+65B0><U+5E74><U+5FEB><U+4E50>  
Happy Lunar New Year! #YearOfTheDog 
#LunarNewYear2018
#ChineseNewYear",FALSE,0,NA,2018-02-25 03:06:39,FALSE,NA,"967596675186417664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","minervagilmor16",1437,TRUE,FALSE,NA,NA
"638","RT @arasmusKTVU: Thank you! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D> #ChineseNewYear @KTVU #YearoftheDog2018 https://t.co/IuqdNDL71j",FALSE,0,NA,2018-02-25 03:06:17,FALSE,NA,"967596585604362240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lup_21",5,TRUE,FALSE,NA,NA
"639","RT @nancymacintyre: Well done #SouthwestAirlines #LunarNewYear #sanfrancisco #ChineseNewYear #ilovesanfrancisco https://t.co/YLAfMh2Hg7",FALSE,0,NA,2018-02-25 03:06:06,FALSE,NA,"967596539961946113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jpoeming",1,TRUE,FALSE,NA,NA
"640","RT @Goombac: Happy New Year! @PlayOverwatch #ChineseNewYear #Overwatch https://t.co/Is7chbzR5d",FALSE,0,NA,2018-02-25 03:06:00,FALSE,NA,"967596514729168898",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iYoshiKunAMV",2729,TRUE,FALSE,NA,NA
"641","RT @Tohrufusky: There were lots of cool floats and cute kids dressed like dogs <ed><U+00A0><U+00BD><ed><U+00B8><U+0080><ed><U+00A0><U+00BC><ed><U+00BE><U+008A><ed><U+00A0><U+00BC><ed><U+00BE><U+0087>

#ChineseNewYear Parade https://t.co/xuU54uHjA2",FALSE,0,NA,2018-02-25 03:05:53,FALSE,NA,"967596483309694976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","itsWanda",1,TRUE,FALSE,NA,NA
"642","RT @AshishJThakkar: <U+65B0><U+5E74><U+5FEB><U+4E50>  
Happy Lunar New Year! #YearOfTheDog 
#LunarNewYear2018
#ChineseNewYear",FALSE,0,NA,2018-02-25 03:05:30,FALSE,NA,"967596387138461697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChristianeSzab5",1437,TRUE,FALSE,NA,NA
"643","There were lots of cool floats and cute kids dressed like dogs <ed><U+00A0><U+00BD><ed><U+00B8><U+0080><ed><U+00A0><U+00BC><ed><U+00BE><U+008A><ed><U+00A0><U+00BC><ed><U+00BE><U+0087>

#ChineseNewYear Parade https://t.co/xuU54uHjA2",FALSE,11,NA,2018-02-25 03:04:44,FALSE,NA,"967596192543592448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tohrufusky",1,FALSE,FALSE,NA,NA
"644","Happy New Year! #gunghayfatchoy #bayarealife #sanfrancisco #chinesenewyear @ Chinatown https://t.co/FOTVYWD1vY",FALSE,0,NA,2018-02-25 03:04:38,FALSE,NA,"967596167419781120",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ranjun_chauhan",0,FALSE,FALSE,"-122.40659617","37.79491793"
"645","RT @MarkFarrellSF: Dragon dance, crackling firecrackers and red lanterns lighting the evening -- the #ChineseNewYear parade has always been…",FALSE,0,NA,2018-02-25 03:04:10,FALSE,NA,"967596052479082496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jornalistavitor",1,TRUE,FALSE,NA,NA
"646","RT @sfmta_muni: ATTN: #ChineseNewYear Parade is now underway from Market &amp; 2nd to Kearny &amp; Pacific. Downtown #SFMuni reroutes are in effect…",FALSE,0,NA,2018-02-25 03:03:17,FALSE,NA,"967595827937009665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anastasialee83",7,TRUE,FALSE,NA,NA
